,name,id
803,NStewCBS2,505362782
804,nycsouthpaw,22429979
805,NYTBen,299734693
806,nytimes,807095
807,ObsoleteDogma,167518667
808,OCFuturesTrader,469878700
809,OffTheRunTrades,2451674089
810,OilSheppard,72260786
811,ojblanchard1,4216847717
812,OKnox,11771512
813,OlafStorbeck,17676510
814,olliecarroll,22799257
815,ollirehn,2348739600
816,onefingershort,55291421
817,OpenOutcrier,2334614718
818,OptionsHawk,61342056
819,OrinKerr,1266209922
820,PA,19983221
821,PabloWelligence,30075491
822,paranoidbull,3368226849
823,parfitt_tom,356795707
824,paststat,378208943
825,pat_hennessy,34794813
826,patrickcdonovan,1171098734333181952
827,paul_vestact,22623542
828,PaulaEbben,50660534
829,paulrbrennan,19263119
830,PawelMorski,4666488050
831,pcdunham,26377458
832,PD_Politics,556089510
833,pdacosta,65466158
834,pdanahar,311989458
835,pearkes,18300968
836,PedderSophie,558889051
837,pegobry,3639301
838,PeterKReilly,731143627
839,PeterLBrandt,247857712
840,PeterPrudden,104367241
841,PeterReznicek,27093808
842,petromatrix,240639336
843,pewresearch,22642788
844,PhilipWen11,210319337
845,philizzo,59019225
846,phl43,850763376263299078
847,PipCzar,33973843
848,PlaterGater,1155879121
849,pmarca,5943622
850,PMBreedlove,1412685446
851,PolemicTMM,2433437755
852,Popehat,18839937
853,POTUS,822215679726100480
854,ppearlman,8524892
855,PpollingNumbers,4432916014
856,prchovanec,64657863
857,PreetBharara,834081571493785600
858,PressSec,818927131883356161
859,profgalloway,9273802
860,profplum99,995543502
861,Purepriceaction,584610906
862,putintintin1,249739824
863,QasimRashid,85583894
864,QiZHAI,27319585
865,QTRResearch,1469603575
866,quantian1,2962715181
867,QuikStrike1,286874779
868,RadioFreeTom,459872442
869,RajaKorman,1932590653
870,RalstonReports,14413466
871,raluca3000,47346052
872,RanchoDinero,290074489
873,RandolphDuke7,1182682298409455616
874,ranimolla,17904829
875,rankoberich,1096544090
876,RANsquawk,1303213284158566400
877,RaoulGMI,2453385626
878,Rasmussen_Poll,19553409
879,RayDalio,62603893
880,RaynerSkyNews,22800231
881,rcallimachi,30699754
882,realDonaldTrump,25073877
883,RedboxWire,1040665819187953664
884,Redistrict,74820061
885,ReformedBroker,22522178
886,Reince,20733972
887,reinman_mt,372460791
888,RenCap,994554726
889,RencapMan,397489668
890,RenMacLLC,3545510475
891,RepAdamSchiff,29501253
892,retheauditors,14289197
893,Reuters,1652541
894,ReutersBiz,15110357
